Country ,Total,Total without GHCS-State,GHCS- USAID,GHCS- STATE,DA,ESF,AEECA,INCLE,NADR,PKO,IMET,FMF,MRA,PL 480,Other*,Fiscal Year
TOTAL,"25,207,133","20,545,203","1,836,095","4,661,930","1,623,622","2,989,838","690,050","878,733","483,055","261,381","85,181","4,548,002","1,023,178","1,210,864","4,915,204",2008
Africa,"6,221,521","2,925,971","746,073","3,295,550","678,352","183,249",-,"21,642","27,512","130,222","13,779","6,757",-,"1,118,385",-,2008
Angola,"42,203","41,151","27,946","1,052","5,500",-,-,-,"7,483",-,222,-,-,-,-,2008
Benin,"29,033","29,033","22,587",-,"6,300",-,-,-,-,-,146,-,-,-,-,2008
Botswana,"79,555","1,055",-,"78,500",-,-,-,-,-,-,755,300,-,-,-,2008
Burkina Faso,"12,775","12,775",-,-,-,-,-,-,-,-,152,-,-,"12,623",-,2008
Burundi,"21,132","21,132","6,031",-,"6,530",-,-,-,170,-,220,-,-,"8,181",-,2008
Cameroon,"2,300","1,800","1,488",500,-,-,-,-,-,-,312,-,-,-,-,2008
Cape Verde,674,674,-,-,-,-,-,496,-,-,178,-,-,-,-,2008
Central African Republic,"4,526","4,526",-,-,-,-,-,-,-,-,116,-,-,"4,410",-,2008
Chad,"62,982","62,982",-,-,-,-,-,-,-,-,185,-,-,"62,797",-,2008
Comoros,136,136,-,-,-,-,-,-,-,-,136,-,-,-,-,2008
Cote d'Ivoire,"100,800",-,-,"100,800",-,-,-,-,-,-,-,-,-,-,-,2008
Democratic Republic of the  Congo,"161,000","142,689","42,918","18,311","23,918","18,846",-,"1,488",-,"5,455",504,397,-,"49,163",-,2008
Djibouti,"5,104","4,954",496,150,"1,500",-,-,298,-,-,360,"1,983",-,317,-,2008
Ethiopia,"659,198","322,198","55,979","337,000","37,067",-,-,-,"1,000",-,586,843,-,"226,723",-,2008
Gabon,199,199,-,-,-,-,-,-,-,-,199,-,-,-,-,2008
Ghana,"80,889","68,889","35,074","12,000","25,412",-,-,496,75,-,588,298,-,"6,946",-,2008
Guinea,"14,206","14,206","8,458",-,"2,400",-,-,-,-,-,246,109,-,"2,993",-,2008
Guinea-Bissau,957,957,-,-,-,-,-,600,244,-,113,-,-,-,-,2008
Kenya,"634,413","132,534","39,384","501,879","32,125",-,-,-,"6,211",-,606,198,-,"54,010",-,2008
Lesotho,"28,557","8,907","8,828","19,650",-,-,-,-,-,-,79,-,-,-,-,2008
Liberia,"161,199","160,399","23,235",800,"29,863","43,192",-,"4,096",-,"51,664",379,298,-,"7,672",-,2008
Madagascar,"57,668","57,168","33,445",500,"11,669",-,-,-,-,-,303,-,-,"11,751",-,2008
Malawi,"105,989","81,241","47,560","24,748","15,500",-,-,-,-,-,307,-,-,"17,874",-,2008
Mali,"59,960","58,510","31,198","1,450","23,400",-,-,-,-,-,285,-,-,"3,627",-,2008
Mauritania,"17,839","17,839",-,-,500,-,-,-,700,-,125,-,-,"16,514",-,2008
Mauritius,149,149,-,-,-,-,-,-,-,-,149,-,-,-,-,2008
Mozambique,"284,346","70,646","36,349","213,700","11,356",-,-,-,-,-,282,-,-,"22,659",-,2008
Namibia,"108,017","5,517","1,934","102,500","3,525",-,-,-,-,-,58,-,-,-,-,2008
Niger,"29,202","29,202",300,-,"2,900",-,-,-,-,-,121,-,-,"25,881",-,2008
Nigeria,"496,460","76,460","44,009","420,000","29,710",-,-,590,-,-,812,"1,339",-,-,-,2008
Republic of the Congo,830,830,-,-,-,-,-,-,675,-,155,-,-,-,-,2008
Rwanda,"157,824","47,824","29,272","110,000","3,820",-,-,-,-,-,391,-,-,"14,341",-,2008
Sao Tome and Principe,621,621,496,-,-,-,-,-,-,-,125,-,-,-,-,2008
Senegal,"57,859","56,324","29,279","1,535","21,798",-,-,-,-,-,"1,177",-,-,"4,070",-,2008
Seychelles,99,99,-,-,-,-,-,-,-,-,99,-,-,-,-,2008
Sierra Leone,"22,868","22,368",500,500,"2,120","12,399",-,-,-,-,401,-,-,"6,948",-,2008
Somalia,"113,372","113,372",748,-,"10,419",-,-,-,754,"2,281",-,-,-,"99,170",-,2008
South Africa,"574,266","17,066","6,951","557,200","9,250",-,-,-,-,-,865,-,-,-,-,2008
State Africa Regional,"14,379","14,379",-,-,-,"7,936",-,-,"5,451",-,-,992,-,-,-,2008
Sudan,"666,396","663,151","17,488","3,245","127,721","100,876",-,"13,578","4,400","70,822",349,-,-,"327,917",-,2008
Swaziland,"26,642","8,442","8,332","18,200",-,-,-,-,-,-,110,-,-,-,-,2008
Tanzania,"361,008","80,008","52,796","281,000","21,439",-,-,-,149,-,300,-,-,"5,324",-,2008
The Gambia,119,119,-,-,-,-,-,-,-,-,119,-,-,-,-,2008
Togo,106,106,-,-,-,-,-,-,-,-,106,-,-,-,-,2008
Uganda,"389,706","134,706","40,451","255,000","32,600",-,-,-,200,-,625,-,-,"60,830",-,2008
Zambia,"293,593","61,593","32,789","232,000","17,917",-,-,-,-,-,433,-,-,"10,454",-,2008
Zimbabwe,"82,652","79,322","19,153","3,330","4,979",-,-,-,-,-,-,-,-,"55,190",-,2008
USAID Africa Regional,"110,158","110,158","18,197",-,"91,961",-,-,-,-,-,-,-,-,-,-,2008
USAID Central Africa Regional,"15,000","15,000",-,-,"15,000",-,-,-,-,-,-,-,-,-,-,2008
USAID East Africa Regional,"24,394","24,394","8,550",-,"15,844",-,-,-,-,-,-,-,-,-,-,2008
