Country ,Total,Total without GHCS-State,GHCS- USAID,GHCS- STATE,DA,ESF,AEECA,INCLE,NADR,IMET,FMF,PKO,MRA,FFP,Other*,Fiscal Year
TOTAL,"26,330,745","21,171,745","1,955,000","5,159,000","1,800,000","3,018,500","650,000","1,190,000","525,000","91,000","4,635,000","250,200","934,500","1,225,900","4,896,645",2009
Africa,"6,656,373","3,174,208","848,509","3,482,165","716,620","417,910",-,"26,600","31,498","15,339","8,255","104,250",-,"1,005,227",-,2009
Angola,"55,967","44,915","28,550","11,052","9,690",-,-,-,"6,300",375,-,-,-,-,-,2009
Benin,"30,962","30,962","23,700",-,"7,000",-,-,-,-,262,-,-,-,-,-,2009
Botswana,"81,494",819,-,"80,675",-,-,-,-,-,819,-,-,-,-,-,2009
Burkina Faso,"19,572","19,572","6,000",-,-,-,-,100,-,166,-,-,-,"13,306",-,2009
Burundi,"39,482","39,482","12,060",-,"6,530",-,-,-,373,403,-,-,-,"20,116",-,2009
Cameroon,"7,154","6,654","1,500",500,-,-,-,-,-,285,-,-,-,"4,869",-,2009
Cape Verde,674,674,-,-,-,-,-,500,-,174,-,-,-,-,-,2009
Central African Republic,"5,493","5,493",-,-,-,-,-,-,-,62,-,-,-,"5,431",-,2009
Chad,"27,750","27,750",-,-,"5,000",-,-,-,-,294,-,-,-,"22,456",-,2009
Comoros,184,184,-,-,-,-,-,-,-,184,-,-,-,-,-,2009
Cote d'Ivoire,"113,744","6,608",-,"107,136",-,-,-,-,-,-,-,-,-,"6,608",-,2009
Democratic Republic of the  Congo,"213,431","195,317","51,265","18,114","5,000","32,800",-,"1,500",300,506,600,"5,500",-,"97,846",-,2009
Djibouti,"5,823","5,673",496,150,"2,500",-,-,300,-,377,"2,000",-,-,-,-,2009
Ethiopia,"610,798","277,111","63,200","333,687","75,000",-,-,-,-,634,843,-,-,"137,434",-,2009
Gabon,366,366,-,-,-,155,-,-,-,211,-,-,-,-,-,2009
Ghana,"90,516","79,016","38,495","11,500","34,500",-,-,500,-,721,300,-,-,"4,500",-,2009
Guinea,"13,377","13,377","8,200",-,"2,576",-,-,100,-,-,-,-,-,"2,501",-,2009
Guinea-Bissau,231,231,-,-,-,-,-,100,-,131,-,-,-,-,-,2009
Kenya,"723,545","192,695","45,626","530,850","44,577","3,000",-,-,"5,500",915,250,-,-,"92,827",-,2009
Lesotho,"25,698","6,548","6,400","19,150",-,-,-,-,-,148,-,-,-,-,-,2009
Liberia,"190,021","189,221","24,900",800,"22,000","80,300",-,"4,130",-,440,"1,500","49,650",-,"6,301",-,2009
Madagascar,"71,055","70,555","38,900",500,"15,350",-,-,-,-,48,-,-,-,"16,257",-,2009
Malawi,"115,646","90,998","50,789","24,648","20,930",-,-,-,-,316,-,-,-,"18,963",-,2009
Mali,"82,682","81,232","33,650","1,450","31,700","4,000",-,-,-,306,-,-,-,"11,576",-,2009
Mauritania,"5,800","5,800",-,-,500,300,-,-,-,-,-,-,-,"5,000",-,2009
Mauritius,178,178,-,-,-,-,-,-,-,178,-,-,-,-,-,2009
Mozambique,"317,975","80,671","39,423","237,304","20,820",-,-,-,-,376,-,-,-,"20,052",-,2009
Namibia,"112,047","7,113","1,934","104,934","5,025",-,-,-,-,154,-,-,-,-,-,2009
Niger,"15,216","15,216",-,-,"1,023",-,-,-,-,100,-,-,-,"14,093",-,2009
Nigeria,"569,298","102,125","57,045","467,173","42,082",-,-,720,50,878,"1,350",-,-,-,-,2009
Republic of the Congo,149,149,-,-,-,-,-,-,-,149,-,-,-,-,-,2009
Rwanda,"190,872","56,950","31,750","133,922","14,480",-,-,-,-,425,-,-,-,"10,295",-,2009
Sao Tome and Principe,189,189,-,-,-,-,-,-,-,189,-,-,-,-,-,2009
Senegal,"70,754","69,219","32,043","1,535","32,834",-,-,-,-,987,-,-,-,"3,355",-,2009
Seychelles,86,86,-,-,-,-,-,-,-,86,-,-,-,-,-,2009
Sierra Leone,"20,053","19,553",-,500,-,"11,000",-,250,-,453,-,-,-,"7,850",-,2009
Somalia,"121,548","121,548","1,550",-,-,"22,250",-,-,-,-,-,"11,600",-,"86,148",-,2009
South Africa,"544,890","21,608","11,500","523,282","9,000",-,-,-,50,"1,058",-,-,-,-,-,2009
Sudan,"537,104","530,777","23,185","6,327","25,550","228,550",-,"15,400","4,000",681,-,"30,000",-,"203,411",-,2009
Swaziland,"26,790","7,090","6,900","19,700",-,-,-,-,-,190,-,-,-,-,-,2009
Tanzania,"427,983","98,062","61,078","329,921","26,890",-,-,-,-,375,-,-,-,"9,719",-,2009
The Gambia,169,169,-,-,-,-,-,-,-,169,-,-,-,-,-,2009
Togo,134,134,-,-,-,-,-,-,-,134,-,-,-,-,-,2009
Uganda,"384,152","126,602","45,282","257,550","40,950",-,-,-,-,629,-,-,-,"39,741",-,2009
Zambia,"308,119","71,644","36,575","236,475","26,716",-,-,-,-,351,-,-,-,"8,002",-,2009
Zimbabwe,"207,987","184,657","22,087","23,330",-,"26,000",-,-,-,-,-,-,-,"136,570",-,2009
State Africa Regional (AF),"35,392","35,392",-,-,-,"8,555",-,"3,000","14,925",-,"1,412","7,500",-,-,-,2009
USAID Africa Regional  (AFR),"106,475","106,475","20,311",-,"85,914",250,-,-,-,-,-,-,-,-,-,2009
Central Africa Regional,"17,500","17,500",-,-,"17,500",-,-,-,-,-,-,-,-,-,-,2009
East Africa Regional,"32,230","32,230","9,585",-,"22,270",375,-,-,-,-,-,-,-,-,-,2009
