Country,All Accounts,DA,GHP USAID,GHP STATE,ESF,INCLE,NADR,IMET,FMF,PKO,IO&P,FFP,IDA,DF,Other**,Fiscal Year
TOTAL,"35,455,450","2,507,001","2,773,750","5,670,000","4,589,182","1,350,000","700,000","105,573","5,915,480","435,600","339,720","1,466,000","1,801,000","130,500","7,671,644",2014
Africa,"7,511,067","1,118,240","1,458,518","3,017,423","416,009","66,169","41,605","16,050","15,321","292,500",-,"1,069,232",-,-,-,2014
Angola,"54,792",-,"38,400","9,899",-,-,"6,000",493,-,-,-,-,-,-,-,2014
Benin,"23,452",-,"23,100",-,-,-,-,352,-,-,-,-,-,-,-,2014
Botswana,"50,580",-,-,"49,804",-,-,-,576,200,-,-,-,-,-,-,2014
Burkina Faso,"15,698",-,"9,500",-,-,-,-,319,-,-,-,"5,879",-,-,-,2014
Burundi,"29,958",-,"14,500","5,000",-,-,-,504,-,-,-,"9,954",-,-,-,2014
Cabo Verde,292,-,-,-,-,-,-,292,-,-,-,-,-,-,-,2014
Cameroon,"38,844",-,"1,500","34,175",-,-,-,487,-,-,-,"2,682",-,-,-,2014
Central African Republic,"30,498",-,-,-,"2,000",-,-,-,-,"10,000",-,"18,498",-,-,-,2014
Chad,"67,238",-,-,-,-,-,-,353,-,-,-,"66,885",-,-,-,2014
Comoros,225,-,-,-,-,-,-,225,-,-,-,-,-,-,-,2014
Cote d'Ivoire,"120,982",-,-,"114,480",-,-,-,492,200,500,-,"5,310",-,-,-,2014
Democratic Republic of the Congo,"331,243",-,"126,650","51,975","48,635","3,250",500,460,-,"10,000",-,"89,773",-,-,-,2014
Djibouti,"11,528",-,-,"1,800","5,000",-,-,348,"1,000",-,-,"3,380",-,-,-,2014
Ethiopia,"583,714","102,000","138,365","123,777",-,-,-,589,843,-,-,"218,140",-,-,-,2014
Gabon,330,-,-,-,-,-,-,330,-,-,-,-,-,-,-,2014
Ghana,"137,085","75,100","59,808",959,-,-,200,668,350,-,-,-,-,-,-,2014
Guinea,"22,041",-,"17,850",-,-,-,-,397,200,580,-,"3,014",-,-,-,2014
Kenya,"644,999","93,500","83,000","371,680",-,"2,000","6,500",748,"1,178",-,-,"86,393",-,-,-,2014
Lesotho,"32,124",-,"6,400","25,497",-,-,-,227,-,-,-,-,-,-,-,2014
Liberia,"165,789",-,"37,700",800,"89,138","11,700",-,470,"4,000","2,000",-,"19,981",-,-,-,2014
Madagascar,"63,001","2,500","49,000",-,-,-,-,-,-,-,-,"11,501",-,-,-,2014
Malawi,"196,018","51,500","71,200","64,180",-,-,-,251,-,-,-,"8,887",-,-,-,2014
Mali,"135,423","53,210","57,650","1,500",-,-,-,99,-,"2,720",-,"20,244",-,-,-,2014
Mauritania,"5,313",-,-,-,-,-,-,300,-,-,-,"5,013",-,-,-,2014
Mauritius,204,-,-,-,-,-,-,204,-,-,-,-,-,-,-,2014
Mozambique,"402,356","57,000","68,700","274,001",-,500,"1,525",630,-,-,-,-,-,-,-,2014
Namibia,"23,580",-,-,"23,460",-,-,-,120,-,-,-,-,-,-,-,2014
Niger,"34,369",-,-,-,-,-,-,356,-,-,-,"34,013",-,-,-,2014
Nigeria,"703,031","71,000","173,500","456,652",-,-,100,779,"1,000",-,-,-,-,-,-,2014
Republic of the Congo,295,-,-,-,-,-,-,295,-,-,-,-,-,-,-,2014
Rwanda,"187,522","65,000","43,500","79,022",-,-,-,-,-,-,-,-,-,-,-,2014
Sao Tome and Principe,263,-,-,-,-,-,-,263,-,-,-,-,-,-,-,2014
Senegal,"118,278","55,621","57,000","1,535",-,-,"1,000",901,325,-,-,"1,896",-,-,-,2014
Seychelles,138,-,-,-,-,-,-,138,-,-,-,-,-,-,-,2014
Sierra Leone,"15,486",-,-,500,"1,600",-,-,423,-,-,-,"12,963",-,-,-,2014
Somalia,"301,980",-,-,-,"21,067","1,700",-,145,-,"200,350",-,"78,718",-,-,-,2014
South Africa,"286,265","15,000","12,000","255,550",-,"2,000",300,715,700,-,-,-,-,-,-,2014
South Sudan,"434,566",-,"30,510","11,790","176,741","20,599","2,135",14,-,"42,700",-,"150,077",-,-,-,2014
Sudan,"168,879",-,-,-,"9,197",-,-,-,-,-,-,"159,682",-,-,-,2014
Swaziland,"43,460",-,"6,900","36,413",-,-,-,147,-,-,-,-,-,-,-,2014
Tanzania,"591,494","115,734","98,335","372,381",-,450,200,424,200,-,-,"3,770",-,-,-,2014
The Gambia,198,-,-,-,-,-,-,198,-,-,-,-,-,-,-,2014
Togo,398,-,-,-,-,-,-,398,-,-,-,-,-,-,-,2014
Uganda,"491,884","63,270","90,500","313,467",-,-,200,569,200,-,-,"23,678",-,-,-,2014
Zambia,"359,127","42,500","58,800","257,476",-,-,-,351,-,-,-,-,-,-,-,2014
Zimbabwe,"168,976",-,"42,500","77,250","20,325",-,-,-,-,-,-,"28,901",-,-,-,2014
African Union,774,-,-,-,774,-,-,-,-,-,-,-,-,-,-,2014
State Africa Regional,"97,022",-,-,-,"21,532","23,970","22,945",-,"4,925","23,650",-,-,-,-,-,2014
USAID Africa Regional,"100,350","86,250","14,100",-,-,-,-,-,-,-,-,-,-,-,-,2014
USAID Central Africa Regional,"39,400","39,400",-,-,-,-,-,-,-,-,-,-,-,-,-,2014
USAID East Africa Regional,"70,611","41,161","8,650",800,"20,000",-,-,-,-,-,-,-,-,-,-,2014
USAID Sahel Regional Program,"18,400","15,600","2,800",-,-,-,-,-,-,-,-,-,-,-,-,2014
USAID Southern Africa Regional,"25,511","21,911","2,000","1,600",-,-,-,-,-,-,-,-,-,-,-,2014
USAID West Africa Regional,"65,083","50,983","14,100",-,-,-,-,-,-,-,-,-,-,-,-,2014
East Asia and Pacific,"779,537","260,542","138,022","72,312","131,048","32,232","50,605","8,626","77,488",-,-,"8,662",-,-,-,2014
Burma,"99,700",-,"22,000","9,000","68,700",-,-,-,-,-,-,-,-,-,-,2014
