Country,All Accounts,DA,GHP-USAID,GHP STATE,ESF,INCLE,NADR,IMET,FMF,PKO,IO&P,FFP,IDA,Other**,Fiscal Year
TOTAL,"37,242,614","2,999,694","2,755,000","5,426,000","6,135,491","1,193,771","999,334","111,715","5,806,542","495,200","315,000","1,400,000","1,741,000","7,863,867",2016
Africa,"6,880,953","1,044,454","1,441,970","3,398,186","479,200","49,150","44,900","15,690","19,153","302,250",-,"86,000",-,-,2016
Angola,"50,449",-,"32,400","12,899",-,-,"4,700",450,-,-,-,-,-,-,2016
Benin,"23,730",-,"23,500",-,-,-,-,230,-,-,-,-,-,-,2016
Botswana,"46,329",-,-,"45,804",-,-,-,525,-,-,-,-,-,-,2016
Burkina Faso,"14,250",-,"9,000",-,-,-,-,250,-,-,-,"5,000",-,-,2016
Burundi,"43,785",-,"17,500","15,360","2,000",-,-,425,-,-,-,"8,500",-,-,2016
Cabo Verde,150,-,-,-,-,-,-,150,-,-,-,-,-,-,2016
Cameroon,"45,775",-,"1,500","43,975",-,-,-,300,-,-,-,-,-,-,2016
Central African Republic,"14,650",-,-,-,"2,000","2,500",-,150,-,"10,000",-,-,-,-,2016
Chad,300,-,-,-,-,-,-,300,-,-,-,-,-,-,2016
Comoros,150,-,-,-,-,-,-,150,-,-,-,-,-,-,2016
Cote d'Ivoire,"145,685",-,-,"138,405","7,000",-,-,280,-,-,-,-,-,-,2016
Democratic Republic of the Congo,"277,618",-,"129,200","60,975","70,568","2,000",500,375,-,"14,000",-,-,-,-,2016
Djibouti,"12,900","10,000",-,"1,800",-,-,-,400,700,-,-,-,-,-,2016
Ethiopia,"403,883","82,200","133,200","187,213",-,-,-,570,700,-,-,-,-,-,2016
Gabon,230,-,-,-,-,-,-,230,-,-,-,-,-,-,2016
Ghana,"146,347","77,080","61,500","6,797",-,-,-,670,300,-,-,-,-,-,2016
Guinea,"23,740","6,000","17,500",-,-,-,-,240,-,-,-,-,-,-,2016
Guinea-Bissau,150,-,-,-,-,-,-,150,-,-,-,-,-,-,2016
Kenya,"630,340","84,210","81,400","456,680",-,"1,000","5,250",800,"1,000",-,-,-,-,-,2016
Lesotho,"47,588",-,"6,400","41,038",-,-,-,150,-,-,-,-,-,-,2016
Liberia,"125,373",-,"29,700",800,"76,453","13,500",-,420,"2,500","2,000",-,-,-,-,2016
Madagascar,"68,918","1,668","49,000",-,-,-,-,250,-,-,-,"18,000",-,-,2016
Malawi,"201,813","33,675","72,400","87,988",-,-,-,250,-,-,-,"7,500",-,-,2016
Mali,"118,395","49,265","56,850","1,500",-,-,500,280,-,-,-,"10,000",-,-,2016
Mauritania,"2,384","1,584",-,-,-,-,500,300,-,-,-,-,-,-,2016
Mauritius,150,-,-,-,-,-,-,150,-,-,-,-,-,-,2016
Mozambique,"409,145","42,374","68,100","298,301",-,-,-,370,-,-,-,-,-,-,2016
Namibia,"43,663",-,-,"43,513",-,-,-,150,-,-,-,-,-,-,2016
Niger,"9,900","2,000",-,-,-,-,500,400,-,-,-,"7,000",-,-,2016
